Date,Description,Debit,Credit,Balance
01/02/2024,NEFT-SALARY-EMPLOYER-FEB2024,,68000.00,209876.00
02/02/2024,UPI/swiggy/9876543210/Lunch,220.00,,209656.00
03/02/2024,UPI/dr/Amazon.in/ORDER-4567,1799.00,,207857.00
04/02/2024,POS-UBER INDIA-RIDE,210.00,,207647.00
05/02/2024,UPI/Netflix/SUBSCRIPTION,649.00,,206998.00
06/02/2024,UPI/swiggy/9876543210/Dinner,340.00,,206658.00
07/02/2024,UPI/dr/Blinkit/Groceries,890.00,,205768.00
08/02/2024,UPI/dr/Zomato/ORDER-8901,195.00,,205573.00
09/02/2024,POS-SHELL PETROL PUMP,1600.00,,203973.00
10/02/2024,UPI/dr/flipkart/ORDER-2345,4500.00,,199473.00
11/02/2024,UPI/swiggy/9876543210/Snacks,130.00,,199343.00
12/02/2024,UPI/dr/BigBasket/Groceries,2100.00,,197243.00
13/02/2024,POS-BOOKMYSHOW-MOVIE,350.00,,196893.00
14/02/2024,UPI/swiggy/9876543210/Dinner,450.00,,196443.00
15/02/2024,POS-UBER INDIA-RIDE,280.00,,196163.00
16/02/2024,AUTOPAY-AIRTEL POSTPAID,599.00,,195564.00
17/02/2024,UPI/swiggy/9876543210/Lunch,260.00,,195304.00
18/02/2024,UPI/dr/Myntra/ORDER-6789,2350.00,,192954.00
19/02/2024,POS-RELIANCE FRESH MART,1150.00,,191804.00
20/02/2024,UPI/swiggy/9876543210/Dinner,310.00,,191494.00
21/02/2024,UPI/dr/Uber/RIDE-7890,195.00,,191299.00
22/02/2024,UPI/dr/Spotify/PREMIUM,119.00,,191180.00
23/02/2024,UPI/swiggy/9876543210/Snacks,140.00,,191040.00
24/02/2024,UPI/dr/Amazon.in/ORDER-0123,890.00,,190150.00
25/02/2024,POS-STARBUCKS COFFEE,420.00,,189730.00
26/02/2024,UPI/swiggy/9876543210/Lunch,175.00,,189555.00
27/02/2024,POS-UBER INDIA-RIDE,230.00,,189325.00
28/02/2024,UPI/dr/Zepto/Groceries,680.00,,188645.00
29/02/2024,UPI/dr/Cult.fit/Monthly,999.00,,187646.00
01/03/2024,NEFT-SALARY-EMPLOYER-MAR2024,,70000.00,257646.00
02/03/2024,UPI/swiggy/9876543210/Lunch,250.00,,257396.00
03/03/2024,UPI/dr/Amazon.in/ORDER-5678,5200.00,,252196.00
04/03/2024,POS-UBER INDIA-RIDE,175.00,,252021.00
05/03/2024,UPI/Netflix/SUBSCRIPTION,649.00,,251372.00
06/03/2024,UPI/swiggy/9876543210/Dinner,380.00,,250992.00
07/03/2024,UPI/dr/Blinkit/Groceries,760.00,,250232.00
08/03/2024,UPI/dr/Zomato/ORDER-1234,230.00,,250002.00
09/03/2024,POS-SHELL PETROL PUMP,1700.00,,248302.00
10/03/2024,UPI/dr/flipkart/ORDER-5678,1650.00,,246652.00
11/03/2024,UPI/swiggy/9876543210/Snacks,180.00,,246472.00
12/03/2024,UPI/dr/BigBasket/Groceries,2300.00,,244172.00
13/03/2024,POS-PVR CINEMAS TICKET,500.00,,243672.00
14/03/2024,UPI/swiggy/9876543210/Dinner,290.00,,243382.00
15/03/2024,POS-UBER INDIA-RIDE,310.00,,243072.00
16/03/2024,AUTOPAY-AIRTEL POSTPAID,599.00,,242473.00
17/03/2024,UPI/swiggy/9876543210/Lunch,200.00,,242273.00
18/03/2024,UPI/dr/Myntra/ORDER-9012,1450.00,,240823.00
19/03/2024,UPI/dr/Amazon.in/ORDER-3456,2800.00,,238023.00
20/03/2024,UPI/swiggy/9876543210/Dinner,350.00,,237673.00
21/03/2024,UPI/dr/Uber/RIDE-0123,260.00,,237413.00
22/03/2024,UPI/dr/Spotify/PREMIUM,119.00,,237294.00
23/03/2024,UPI/swiggy/9876543210/Snacks,165.00,,237129.00
24/03/2024,UPI/dr/Apollo Pharmacy,1200.00,,235929.00
25/03/2024,POS-STARBUCKS COFFEE,350.00,,235579.00
26/03/2024,UPI/swiggy/9876543210/Lunch,195.00,,235384.00
27/03/2024,POS-UBER INDIA-RIDE,215.00,,235169.00
28/03/2024,UPI/dr/Zepto/Groceries,580.00,,234589.00
29/03/2024,UPI/swiggy/9876543210/Dinner,310.00,,234279.00
30/03/2024,UPI/dr/Cult.fit/Monthly,999.00,,233280.00
31/03/2024,REFUND-FLIPKART-RETURN,,1650.00,234930.00
